commit,label,speedup_vs_fom,rel_l2_median,rel_l2_p90,frac_le_1e-2,frac_le_5e-3,rom_time_ms,fom_time_ms,iters_coarse_med,iters_fine_med,change_description
8b2dc44,baseline_iter7_500_to_8000,0.50,2.88e-3,6.61e-3,0.9375,0.85,551,274,30,5,decoder-explorer SOTA: anchor coarse 500 + lap fine 8000, both capped at 30 iters
8b2dc44,baseline_iter7_500_to_8000_timed,0.128,2.88e-3,6.61e-3,0.9375,0.85,2152,276,30,5,re-timed iter-7 with proper warmup: actual median is 2152ms not 551ms; fine_full=1996ms median (jacfwd_fine=54ms x 30 iters cap)
HEAD,affine_v1_eq500,194.21,1.95e-1,5.88e-1,0.025,0.012,1.42,275.6,5,0,affine-in-z decoder + AffineNMROMSolver (Phi_st precomputed) at eq=500 / 30 iters cap. SPEED CEILING demo: 194x FOM. ACCURACY MISS: 20% rel-L2 median. Training: anchor-style only, hidden=384, Phi depth 4. Manifold expressivity too low; bias b(x) is just linear from x.
HEAD,affine_v1_eq8000,80.36,1.95e-1,5.88e-1,0.025,0.012,3.43,275.6,5,0,same affine_v1 ckpt but eq=8000 (more residual points): rel-L2 unchanged (manifold limited not eq limited). Confirms speed scales linearly with n_eq for affine.
HEAD,affine_v2_eq500,149.03,3.35e-1,8.03e-1,0.0,0.0,1.82,271.6,4,0,affine v2 (hidden 512 depth 5 SIREN bias 256) trained anchor recipe. WORSE than v1 (0.33 vs 0.20). Bigger Phi reduces capacity to escape manifold near z=0 cold-start. Best val 1.84e-2 but ROM rel-L2 0.33 — solver converges to wrong z.
HEAD,affine_v2_eq8000,69.62,3.35e-1,8.03e-1,0.0,0.0,3.96,275.4,4,0,affine_v2 at eq=8000 — same rel-L2 confirms bottleneck is the manifold not the EQ.
HEAD,affine_v3_eq500,199.11,2.33e-1,5.92e-1,0.0,0.0,1.37,272.7,5,0,affine v3 (latent_dim 32). Best val 2.30e-2 (WORSE than v1's 1.55e-2). ROM rel-L2 0.23. Doubling latent dim doesn't help — manifold capacity not the bottleneck.
HEAD,affine_v3_eq2000,139.94,2.33e-1,5.92e-1,0.0,0.0,1.95,272.7,5,0,affine v3 at eq=2000.
HEAD,affine_v4_eq500,67.58,7.56e-1,1.12e+0,0.0,0.0,4.06,274.4,14,0,affine v4 (no anchor lambda_z=1e-4). Best val 2.05e-2 (worse). z_enc 0.3-1.1 (spread); z_rom 0.2-0.4 (basin). 14 iters median. WORSE than v2 — removing anchor lets encoder spread z but GN still can't reach those z's.
HEAD,affine_v4_eq2000,48.75,7.56e-1,1.12e+0,0.0,0.0,5.62,274.4,14,0,affine v4 at eq=2000.
HEAD,linaff_v1_eq500,270.59,2.53e-1,5.02e-1,0.0,0.0,1.01,273.5,3,0,LinearAffineZDecoder (A(z)=Wz+b constant Jacobian). 270x FOM speedup at eq=500 iters=3. Best val 9.97e-3 (CP-level!) but ROM rel-L2 0.25 — encoder/ROM consistency gap: residual-min z differs from reconstruction-min z by direction.
HEAD,linaff_v1_eq8000,110.62,2.53e-1,5.02e-1,0.0,0.0,2.48,273.5,3,0,linaff_v1 at eq=8000.
HEAD,linaff_v2_eq500,320.75,1.81e-2,3.16e-2,0.12,0.00,0.85,272.0,2,0,LinearAffine + Laplacian residual loss. rel-L2 1.81e-2 median p90 3.16e-2 with 320x FOM speedup. iters_med=2. p90 < 4e-2 — usable. Lap loss aligned encoder z with residual-min z; ROM rel-L2 now BETTER than oracle (uses FOM operator directly). NEW PARETO TIER.
HEAD,linaff_v2_eq8000,148.89,1.81e-2,3.16e-2,0.12,0.00,1.84,272.0,2,0,linaff_v2 at eq=8000.
HEAD,linaff_v4_eq500,273.94,1.31e-2,1.99e-2,0.22,0.01,1.00,272.4,2,0,LinAff + Lap loss + 100k epochs (2x v2) + lambda_lap=0.2 (2x). Best val 8.62e-3 ROM rel-L2 1.31e-2 p90 1.99e-2. NEW SOTA fast tier — 274x FOM at rel-L2 ~1.3e-2. Confirms v2 was training-time-limited not capacity-limited.
HEAD,linaff_v4_eq8000,103.55,1.31e-2,1.99e-2,0.22,0.01,2.63,272.4,2,0,linaff_v4 at eq=8000.
